site_id,name,layer,operator,city,state,address_or_hint,lat,lon,location_precision,surroundings_snapshot,community_signals,stressors,sources
IL-EX-01,Meta DeKalb Data Center,existing,Meta,DeKalb,IL,"Gurler Rd, DeKalb, IL",41.884,-88.750,approx,"South edge of DeKalb near major arterials and industrial growth areas","Expansion framed as jobs + investment by City and Meta","Substation or grid upgrades, water use, backup generators, noise, lighting spill","https://www.cityofdekalb.com/CivicAlerts.aspx?AID=670&ARC=1459; https://www.cityofdekalb.com/CivicAlerts.aspx?AID=697&ARC=1463"
IL-EX-02,Stream Data Centers Chicago II,existing,Stream Data Centers,Elk Grove Village,IL,"Elk Grove Village, IL (Stream Chicago II)",42.000,-87.970,approx,"Elk Grove positioned as a data center and connectivity hub","Partnerships and utility readiness emphasized","Grid capacity expansions, generator/mechanical noise, construction impacts if further phases","https://www.streamdatacenters.com/locations/chicago-data-centers/; https://www.streamdatacenters.com/news/stream-expands-chicago-presence-with-second-data-center/"
IL-EX-03,Stream Data Centers Chicago I,existing,Stream Data Centers,Elk Grove Village,IL,"Elk Grove Village, IL (Stream Chicago I)",42.000,-87.970,approx,"Same regional cluster dynamics as Chicago II","Public framing focuses on infrastructure readiness more than community impact","Cumulative impacts across nearby sites, grid upgrades, noise","https://www.streamdatacenters.com/news/stream-expands-chicago-presence-with-second-data-center/"
IL-EX-04,Equinix CH3,existing,Equinix,Elk Grove Village (Chicago metro),IL,"Elk Grove area, Chicago metro (Equinix CH3)",42.000,-87.970,approx,"Part of the Elk Grove data center cluster","Appears in industry operations context, not community process","Grid and redundancy infrastructure, generator testing schedules, noise","https://www.datacenterdynamics.com/en/news/cboe-edga-equities-exchange-migrates-secondary-data-center-to-equinix-facility-in-illinois/"
IL-EX-05,Digital Realty ORD10 (350 E Cermak),existing,Digital Realty,Chicago,IL,"350 E Cermak Rd, Chicago, IL 60616",41.853,-87.620,exact,"South Loop dense urban corridor; historic industrial building repurposed over time","Emphasis on interconnection ecosystem and modernization, limited community framing","Generator testing and emissions, rooftop mechanical noise, construction staging impacts","https://www.digitalrealty.com/data-centers/americas/chicago/ord10; https://www.digitalrealty.com/about/projects/digital-cermak; https://en.wikipedia.org/wiki/R.R._Donnelley_and_Sons_Co._Calumet_Plant"
IL-EX-06,CoreSite CH1,existing,CoreSite,Chicago,IL,"427 S LaSalle St, Chicago, IL 60605",41.876,-87.632,exact,"Downtown Chicago near Board of Trade area","Public-facing content is facility capabilities, not community engagement","Generator testing and emissions permitting, rooftop noise, street impacts from upgrades","https://www.coresite.com/data-center/ch1-chicago-il; https://www.coresite.com/spec-sheets/chicago-ch1-facility-spec-sheet; https://www.coresite.com/data-center-locations/chicago"
IL-EX-07,CoreSite CH2,existing,CoreSite,Chicago,IL,"1432 S Clinton St, Chicago, IL 60607",41.864,-87.641,exact,"Near other major hubs; clustered infrastructure zone","Commercial framing; community process not foregrounded","Generator testing, diesel storage, heat rejection, traffic impacts from construction","https://www.coresite.com/data-center/ch2-chicago-il; https://www.coresite.com/data-center/ch1-chicago-il; https://www.coresite.com/data-center-locations/chicago"
IL-PR-01,Edged Project Vector,proposed,Edged (Endeavour Energy network),DeKalb area,IL,"IL-23 near Keslinger Rd and Crego Rd, DeKalb, IL",41.848,-88.752,approx,"Described as south of Meta DeKalb; planned internal roads to Route 23","Multiple hearings; significant public turnout and concerns","Noise, light pollution, stormwater, landscaping, lighting shielding","https://www.cityofdekalb.com/m/newsflash/home/detail/964; https://www.shawlocal.com/daily-chronicle/2025/12/02/standing-room-only-for-first-public-look-at-dekalb-560-acre-endeavour-energy-data-center-proposal/; https://www.northernpublicradio.org/illinois/2025-12-09/dekalb-city-council-gives-green-light-to-data-center-project; https://northernstar.info/130777/news/dozens-gather-to-voice-concerns-over-proposed-dekalb-data-center/"
IL-PR-02,Equinix Minooka project,proposed,Equinix,Minooka area,IL,"Holt Rd & Ridge Rd, Minooka, IL",41.457,-88.266,approx,"Farmland conversion to a large campus concept; village materials include maps and documents","Village FAQ published; open house held","Water allocation concerns, land use shift, industrial footprint impacts","https://www.minooka.com/news/posts/minooka-data-center-faq-and-fact-sheet; https://www.minooka.com/news/posts/data-center-open-house; https://patch.com/illinois/channahon-minooka/minooka-getting-data-center-citizens-start-reacting-proposed-location; https://www.datacenterdynamics.com/en/news/village-of-minooka-illinois-set-to-house-data-center/; https://www.lockhaven.com/news/local-news/2025/06/as-pa-courts-data-centers-illinois-serves-as-a-cautionary-tale"
IL-PR-03,Compass Datacenters campus (former Sears HQ),proposed,Compass Datacenters,Hoffman Estates,IL,"3333 Beverly Rd, Hoffman Estates, IL",42.064,-88.121,approx,"Redevelopment of an existing corporate campus footprint","Investment scale and ComEd involvement emphasized","Demolition impacts, long construction timeline, substation and power delivery planning","https://www.compassdatacenters.com/news/compass-kicks-off-development-of-its-first-hyperscale-campus-in-illinois/; https://www.datacenterdynamics.com/en/news/compass-starts-work-on-data-center-campus-at-former-sears-hq-in-chicago/; https://www.dailyherald.com/20251208/business/after-sears-teardown-walls-are-going-up-for-hoffman-estates-data-center-campus/"
